このファイルは OpenJDK・OracleJDK・Temurin の issue_ids.txt を比較し、三製品で一致しない JDK 番号と各 Fix Version/s を一覧化したものです。

JDK         | OpenJDK | OracleJDK | Temurin | Fix Version/s
JDK-8322339 | Y       | Y         | N       | 22
JDK-8322345 | Y       | Y         | N       | 22
JDK-8322415 | N       | Y         | N       | 22
JDK-8322467 | N       | Y         | N       | 21.0.8-oracle
JDK-8322474 | N       | Y         | N       | 21.0.3-oracle
JDK-8322645 | N       | Y         | N       | 22
JDK-8322972 | N       | Y         | N       | 22
JDK-8323231 | N       | N         | Y       | Issueページなし
JDK-8323390 | N       | N         | Y       | Issueページなし
JDK-8324559 | N       | N         | Y       | Issueページなし
JDK-8324655 | N       | Y         | N       | 23
JDK-8325600 | N       | N         | Y       | Issueページなし
JDK-8325730 | N       | Y         | N       | 23
JDK-8325903 | N       | Y         | N       | 23
JDK-8325999 | N       | Y         | N       | 22
JDK-8326373 | N       | Y         | N       | 23
JDK-8327055 | N       | Y         | N       | 23
JDK-8327413 | N       | N         | Y       | Issueページなし
JDK-8328286 | N       | N         | Y       | Issueページなし
JDK-8328544 | N       | N         | Y       | Issueページなし
JDK-8328726 | N       | N         | Y       | Issueページなし
JDK-8328857 | N       | Y         | N       | 21.0.4-oracle
JDK-8329111 | N       | Y         | N       | 23
JDK-8329337 | N       | Y         | N       | 23
JDK-8329427 | N       | Y         | N       | 23
JDK-8329524 | N       | Y         | N       | 21.0.4-oracle
JDK-8329530 | N       | Y         | N       | 21.0.4-oracle
JDK-8330045 | N       | N         | Y       | Issueページなし
JDK-8330732 | N       | Y         | N       | 23
JDK-8331053 | N       | Y         | N       | 8u431-perf, 8u471, 11.0.26-oracle, 23
JDK-8331090 | N       | Y         | N       | 24
JDK-8331446 | N       | N         | Y       | Issueページなし
JDK-8331872 | N       | Y         | N       | 23
JDK-8331874 | Y       | Y         | N       | 22
JDK-8331979 | N       | Y         | N       | 23
JDK-8332644 | N       | N         | Y       | Issueページなし
JDK-8334260 | N       | Y         | N       | 7u471, 8u461, 11.0.28-oracle, 17.0.16-oracle, 21.0.8-oracle, 24
JDK-8335291 | N       | Y         | N       | 24
JDK-8335428 | N       | N         | Y       | Issueページなし
JDK-8335713 | N       | N         | Y       | Issueページなし
JDK-8336564 | N       | N         | Y       | Issueページなし
JDK-8336799 | N       | Y         | N       | 23
JDK-8337494 | N       | N         | Y       | Issueページなし
JDK-8337692 | N       | N         | Y       | Issueページなし
JDK-8337884 | N       | Y         | N       | 21.0.6-oracle
JDK-8338103 | N       | Y         | N       | 24
JDK-8338430 | N       | N         | Y       | Issueページなし
JDK-8338592 | N       | Y         | N       | 21.0.6-oracle
JDK-8338621 | N       | Y         | N       | 23
JDK-8338879 | N       | Y         | N       | 21.0.6-oracle
JDK-8338920 | N       | Y         | N       | 23
JDK-8339101 | N       | Y         | N       | 21.0.5-oracle
JDK-8339180 | N       | N         | Y       | Issueページなし
JDK-8339233 | N       | Y         | N       | 24
JDK-8339495 | N       | Y         | N       | 24
JDK-8339962 | N       | Y         | N       | 24
JDK-8340337 | N       | Y         | N       | 23
JDK-8341062 | N       | Y         | N       | 24
JDK-8341905 | N       | Y         | N       | 21.0.6-oracle
JDK-8342562 | N       | N         | Y       | Issueページなし
JDK-8342843 | N       | Y         | N       | 21.0.8-oracle, 24
JDK-8343007 | N       | N         | Y       | Issueページなし
JDK-8343127 | N       | Y         | N       | 24
