JDK         | OpenJDK | OracleJDK | Temurin
JDK-8278965 | N       | N         | Y      
JDK-8279216 | N       | N         | Y      
JDK-8279619 | N       | N         | Y      
JDK-8279993 | N       | N         | Y      
JDK-8280031 | N       | N         | Y      
JDK-8280113 | N       | N         | Y      
JDK-8280126 | N       | N         | Y      
JDK-8280419 | N       | N         | Y      
JDK-8280982 | N       | N         | Y      
JDK-8280993 | N       | N         | Y      
JDK-8280994 | N       | N         | Y      
JDK-8281103 | N       | N         | Y      
JDK-8281149 | N       | N         | Y      
JDK-8281213 | N       | N         | Y      
JDK-8281715 | N       | N         | Y      
JDK-8281941 | N       | N         | Y      
JDK-8281946 | N       | N         | Y      
JDK-8282201 | N       | N         | Y      
JDK-8282232 | N       | N         | Y      
JDK-8282319 | N       | N         | Y      
JDK-8282379 | N       | N         | Y      
JDK-8282383 | N       | N         | Y      
JDK-8282384 | N       | N         | Y      
JDK-8282651 | N       | N         | Y      
JDK-8282664 | N       | N         | Y      
JDK-8283203 | N       | N         | Y      
JDK-8283400 | N       | N         | Y      
JDK-8283404 | N       | N         | Y      
JDK-8283740 | N       | N         | Y      
JDK-8284047 | N       | N         | Y      
JDK-8284236 | N       | N         | Y      
JDK-8284825 | N       | N         | Y      
JDK-8284871 | N       | N         | Y      
JDK-8285416 | N       | N         | Y      
JDK-8285850 | N       | N         | Y      
JDK-8285932 | N       | N         | Y      
JDK-8286070 | N       | N         | Y      
JDK-8286311 | N       | N         | Y      
JDK-8286470 | N       | N         | Y      
JDK-8286496 | N       | N         | Y      
JDK-8286503 | N       | N         | Y      
JDK-8286510 | N       | N         | Y      
JDK-8286581 | N       | N         | Y      
JDK-8286597 | N       | N         | Y      
JDK-8286775 | N       | N         | Y      
JDK-8286781 | N       | N         | Y      
JDK-8286876 | N       | N         | Y      
JDK-8286907 | N       | N         | Y      
JDK-8287087 | N       | N         | Y      
JDK-8287134 | N       | N         | Y      
JDK-8287404 | N       | N         | Y      
JDK-8287411 | N       | N         | Y      
JDK-8287699 | N       | N         | Y      
JDK-8287812 | N       | N         | Y      
JDK-8287834 | N       | N         | Y      
JDK-8287873 | N       | N         | Y      
JDK-8287885 | N       | N         | Y      
JDK-8287925 | N       | N         | Y      
JDK-8288050 | N       | N         | Y      
JDK-8288109 | N       | N         | Y      
JDK-8288158 | Y       | Y         | N      
JDK-8288204 | N       | N         | Y      
JDK-8288287 | N       | N         | Y      
JDK-8288415 | N       | N         | Y      
JDK-8288436 | N       | N         | Y      
JDK-8288516 | N       | N         | Y      
JDK-8288619 | N       | N         | Y      
JDK-8288730 | N       | N         | Y      
JDK-8288783 | N       | N         | Y      
JDK-8288912 | N       | N         | Y      
JDK-8289077 | N       | N         | Y      
JDK-8289547 | N       | N         | Y      
JDK-8289735 | N       | N         | Y      
JDK-8289748 | N       | N         | Y      
JDK-8289765 | N       | N         | Y      
JDK-8290200 | N       | N         | Y      
JDK-8290499 | N       | N         | Y      
JDK-8290822 | N       | N         | Y      
JDK-8290899 | N       | N         | Y      
JDK-8290918 | N       | N         | Y      
JDK-8290919 | N       | N         | Y      
JDK-8291154 | N       | N         | Y      
JDK-8291302 | N       | N         | Y      
JDK-8291550 | N       | N         | Y      
JDK-8291555 | N       | N         | Y      
JDK-8291569 | N       | N         | Y      
JDK-8291598 | N       | N         | Y      
JDK-8291735 | N       | N         | Y      
JDK-8291966 | N       | N         | Y      
JDK-8292059 | N       | N         | Y      
JDK-8292157 | N       | N         | Y      
JDK-8292170 | N       | N         | Y      
JDK-8292206 | N       | N         | Y      
JDK-8292265 | N       | N         | Y      
JDK-8292269 | N       | N         | Y      
JDK-8292275 | N       | N         | Y      
JDK-8292289 | N       | N         | Y      
JDK-8292583 | N       | N         | Y      
JDK-8292588 | N       | N         | Y      
JDK-8292635 | N       | N         | Y      
JDK-8292674 | N       | N         | Y      
JDK-8292741 | N       | N         | Y      
JDK-8292818 | N       | N         | Y      
JDK-8292914 | N       | N         | Y      
JDK-8293117 | N       | N         | Y      
JDK-8293198 | N       | N         | Y      
JDK-8293292 | N       | N         | Y      
JDK-8293313 | N       | N         | Y      
JDK-8293324 | N       | N         | Y      
JDK-8293410 | N       | N         | Y      
JDK-8293519 | N       | N         | Y      
JDK-8293547 | N       | N         | Y      
JDK-8293554 | N       | N         | Y      
