issue_id,category,rules,details
JDK-8355716,review,,
JDK-8355727,review,,
JDK-8355728,review,,
JDK-8355729,review,,
JDK-8355730,review,,
JDK-8355731,review,,
JDK-8355733,review,,
JDK-8355734,review,,
JDK-8355735,review,,
JDK-8355736,review,,
JDK-8355737,review,,
JDK-8355738,review,,
JDK-8355759,review,,
JDK-8355760,review,,
JDK-8356013,review,,
JDK-8356178,review,,
JDK-8356180,review,,
JDK-8356481,review,,
JDK-8356508,review,,
JDK-8356514,excluded,doc_or_test,"keywords=open source,test"
JDK-8356515,review,,
JDK-8356518,review,,
JDK-8356520,excluded,non_windows11_platform,targets=windows xp
JDK-8356637,review,,
JDK-8356672,review,,
JDK-8356675,review,,
JDK-8356676,review,,
JDK-8356707,review,,
JDK-8356802,review,,
JDK-8357001,review,,
JDK-8357065,review,,
JDK-8357115,review,,
JDK-8357116,review,,
JDK-8357117,review,,
JDK-8357118,review,,
JDK-8357120,review,,
JDK-8357122,review,,
JDK-8357204,review,,
JDK-8357205,excluded,doc_or_test,"keywords=open source,test"
JDK-8357206,review,,
JDK-8357214,excluded,doc_or_test,"keywords=open source,test"
JDK-8357215,excluded,doc_or_test,"keywords=open source,test"
JDK-8357388,review,,
JDK-8357391,excluded,gc_related,component=hotspot/gc; keywords=\bzgc\b
JDK-8357477,excluded,non_windows11_platform,targets=aix
JDK-8357482,review,,
JDK-8357484,review,,
JDK-8357489,excluded,doc_or_test,"keywords=open source,test"
JDK-8357492,excluded,doc_or_test,"keywords=open source,test"
JDK-8357493,review,,
JDK-8357494,excluded,doc_or_test,"keywords=open source,test"
JDK-8357500,excluded,doc_or_test,"keywords=open source,test"
JDK-8357534,review,,
JDK-8357548,review,,
JDK-8357667,review,,
JDK-8357820,review,,
JDK-8359037,review,,
JDK-8359349,review,,
JDK-8360406,review,,
