issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8352523,21.0.8,needs_review,runtime_core,,要確認,,,Enable debug logging for vmTestbase/nsk/jvmti/scenarios/sampling/SP05/sp05t003/TestDescription.java,hotspot,jvmti,,21.0.8
JDK-8352524,21.0.8,needs_review,runtime_core,,要確認,,,Adjust timeout in test javax/management/monitor/DerivedGaugeMonitorTest.java,core-svc,javax.management,,21.0.8
JDK-8352525,21.0.8,needs_review,runtime_core,,要確認,,,serviceability/sa/ClhsdbWhere.java fails AssertionFailure: Corrupted constant pool,hotspot,svc-agent,,21.0.8
JDK-8352526,21.0.8,needs_review,runtime_core,,要確認,,,Test serviceability/sa/ClhsdbCDSJstackPrintAll.java failed: ArrayIndexOutOfBoundsException,hotspot,svc-agent,,21.0.8
JDK-8352538,21.0.8,needs_review,classlib,,要確認,,,Exception thrown before awaitAndCheck hangs PassFailJFrame,client-libs,,,21.0.8
JDK-8352539,21.0.8,needs_review,classlib,,要確認,,,Improve HTML instruction formatting in PassFailJFrame,client-libs,,,21.0.8
JDK-8352543,21.0.8,needs_review,classlib,,要確認,,,[XWayland] No displayChanged event after setDisplayMode call,client-libs,java.awt,,21.0.8
JDK-8352544,21.0.8,needs_review,classlib,,要確認,,,Update LCMS to 2.17,client-libs,2d,,21.0.8
JDK-8352586,21.0.8,excluded,classlib,test_infra,対応不要,"keywords=jtreg,test",doc_or_test,Some java/lang jtreg tests miss requires vm.hasJFR,core-libs,java.lang,,21.0.8
JDK-8352658,21.0.8,needs_review,classlib,,要確認,,,[JMH] Cannot access class jdk.internal.vm.ContinuationScope,core-libs,java.lang,,21.0.8
JDK-8352771,21.0.8,needs_review,runtime_core,,要確認,,,Crash: assert(h_array_list.not_null()) failed: invariant,hotspot,jfr,,21.0.8
JDK-8352772,21.0.8,excluded,runtime_core,,対応不要,targets=linux,non_windows11_platform,OpenJDK fails to configure on linux aarch64 when CDS is disabled after JDK-8331942,hotspot,runtime,,21.0.8
JDK-8353071,21.0.8,needs_review,classlib,,要確認,,,Opensource five more random Swing tests,client-libs,javax.swing,,21.0.8
JDK-8353072,21.0.8,needs_review,classlib,performance_regression,要確認,,,Opensource five Swing component related regression tests,client-libs,javax.swing,,21.0.8
JDK-8353076,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source closed choice tests #1,client-libs,java.awt,,21.0.8
JDK-8353077,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT focus tests - series 4,client-libs,java.awt,,21.0.8
JDK-8353078,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source couple more miscellaneous AWT tests,client-libs,java.awt,,21.0.8
JDK-8353081,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source some of the AWT Window tests,client-libs,java.awt,,21.0.8
